Date,2015 Bar Earnings,Day,2016 Bar Earnings,Day2,2017 Bar Earnings,Day3,Weather,Events/Specials/Notes
10/21,1032.53,Wednesday,1162.7,Friday,,,,
10/22,667.27,Thursday,,Saturday,,,,
10/23,1043.19,Friday,247.58,Sunday,,,,
10/24,1113.14,Saturday,684.92,Monday,,,,
10/25,189.64,Sunday,422.15,Tuesday,,,,
10/26,541.15,Monday,135.75,Wednesday,,,,
10/27,405.27,Tuesday,,Thursday,,,,
10/28,0,Wednesday,703.05,Friday,,,,
10/29,724.72,Thursday,,Saturday,,,,
10/30,255.57,Friday,,Sunday,,,,
10/31,385.41,Saturday,,Monday,,,,
11/1,453.64,Sunday,386.84,Tuesday,,,,
11/2,724.78,Monday,516.26,Wednesday,,,,
11/3,891.45,Tuesday,690.67,Thursday,,,,
11/4,467.29,Wednesday,968.31,Friday,,,,
11/5,347.51,Thursday,817.67,Saturday,,,,
11/6,979.24,Friday,471.42,Sunday,,,,
11/7,370.24,Saturday,601.04,Monday,,,,
11/8,0,Sunday,750.81,Tuesday,,,,
11/9,0,Monday,498.9,Wednesday,,,,
11/10,0,Tuesday,602.03,Thursday,,,,
11/11,0,Wednesday,308.41,Friday,,,,
11/12,0,Thursday,1595.37,Saturday,,,,
11/13,0,Friday,253.97,Sunday,,,,
11/14,0,Saturday,665.42,Monday,,,,
11/15,0,Sunday,0,Tuesday,,,,
11/16,0,Monday,537.93,Wednesday,,,,
11/17,0,Tuesday,640.77,Thursday,,,,
11/18,0,Wednesday,743.35,Friday,,,,
11/19,0,Thursday,606.6,Saturday,,,,
11/20,0,Friday,,Sunday,,,,
11/21,0,Saturday,,Monday,,,,
11/22,0,Sunday,,Tuesday,,,,
11/23,0,Monday,,Wednesday,,,,
11/24,0,Tuesday,,Thursday,,,,
11/25,0,Wednesday,422.15,Friday,,,,
11/26,0,Thursday,671.02,Saturday,,,,
11/27,0,Friday,,Sunday,,,,
11/28,0,Saturday,,Monday,,,,
11/29,0,Sunday,,Tuesday,,,,
11/30,0,Monday,,Wednesday,,,,
